stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
2,2,3,3,4,5,5,4,4,5,5,5,4,4,4,4,3,3,4,4,5,5,4,4,5,4,4,3
3,5,4,5,4,4,4,4,4,4,5,5,4,5,4,5,5,4,5,4,5,5,4,4,4,4,5,4
4,4,4,3,3,3,3,2,2,2,3,3,1,3,3,4,4,3,4,4,3,3,3,4,3,2,1,3
5,5,4,5,5,3,3,3,4,3,3,3,3,5,5,5,5,5,5,4,5,5,4,5,4,4,4,4
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,4,5,4,4,4,5,4,5,3,3,5,4,5,5,5,5,5,5,5,4,3,5,5,3,5,5,5
10,4,4,4,4,3,2,3,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3
11,4,4,4,5,4,4,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,4,3,4,4,4,5
12,2,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,2,2,2,1,2,2,4,3,3,3
13,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4
14,5,5,4,3,4,3,3,3,3,4,4,4,5,5,5,5,5,3,3,3,3,5,4,4,5,5,4
15,4,4,5,3,3,3,4,4,2,2,4,4,4,4,4,3,3,5,4,5,5,4,3,2,4,3,4
16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,5,5,5,5,3,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5
18,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,3,4,4,5,5,4,5,5,5,4
19,4,5,4,4,3,4,4,3,4,3,3,4,4,4,3,4,5,5,4,4,5,4,5,3,4,5,4
20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,3,4,4,4
21,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4
22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,4,3,3,4,5,3,4,3,2,4,4,4,5,4,5,5,5,5,5,5,4,4,3,2,4,4,5
24,4,4,5,4,3,3,3,4,4,3,3,4,5,5,5,4,5,4,5,4,4,5,5,4,5,5,5
25,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
26,5,5,5,3,5,3,2,5,5,5,5,5,5,5,3,5,4,5,5,5,3,5,3,5,5,5,5
27,4,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
28,4,5,4,3,3,4,5,4,4,3,5,4,4,5,3,5,4,4,5,4,3,3,4,5,3,5,5
29,5,4,4,5,5,5,5,3,3,3,4,5,5,5,4,4,4,5,5,3,5,3,4,5,4,3,4
30,5,3,4,4,5,4,4,3,4,2,5,3,5,5,5,3,3,5,5,3,3,5,5,5,5,4,4
31,4,5,4,4,4,3,4,2,3,4,3,3,5,5,5,3,4,3,3,4,4,3,3,5,4,3,4
32,3,3,3,3,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,4,3,4
